place,Rating,Popularity,latitude,longitude,State
 Bangalore Creative Circus,5.0,7.0,13.0138227,77.54835439968363,Karnataka
 Dharmaraya Swamy Temple,4.0,26.0,12.96552105,77.58318671179347,Karnataka
 Enchanting Acres,4.5,8.0,26.11954745,-81.7630410769957,Florida
 Holy Trinity Church,4.0,20.0,40.785573150000005,-73.9773826058308,New York
 Care Spa,5.0,85.0,52.265990450000004,-2.147379285400761,England
 Chinnappanahalli Lake Park,4.0,14.0,12.96517505,77.70840355957928,Karnataka
 Gangamma Devi Temple,4.5,12.0,13.56173,78.3236633,Karnataka
 St,4.0,26.0,50.0601579,13.83074794209991,Střední Čechy
 Indian Cartoon Gallery,4.0,7.0,12.9717578,77.6179225,Karnataka
 Sri Ranganatha Swamy Temple,4.5,9.0,12.4250788,76.67929497005707,Karnataka
 Sri Shirdi Sai Baba Temple,4.0,5.0,13.0129494,76.09929244663702,Karnataka
 Brigade Road,4.0,7.0,12.9750849,77.6079337,Karnataka
 St,4.5,8.0,50.0601579,13.83074794209991,Střední Čechy
 RMZ Galleria,4.0,11.0,13.0937807,77.59559605652454,Karnataka
 Esteem Mall,3.5,18.0,13.0490746,77.59339660252961,Karnataka
 Jawahar Bal Bhavan,3.5,18.0,12.97641245,77.59698654997976,Karnataka
 Market Square Mall,4.0,13.0,-38.1483971,144.3608339,Victoria
 Om Shakthi Temple,4.0,12.0,13.0155149,77.6430312,Karnataka
 Thattekere Lake,3.5,14.0,12.68151565,77.58867405422633,Karnataka
 Hesaraghatta Lake,3.5,14.0,13.161625,77.49114583333333,Karnataka
 Angala Parameswari Temple,4.5,6.0,12.846045,79.70476,Tamil Nadu
 Mahatma Gandhi Park,4.0,12.0,8.8742904,76.59353151181372,Kerala
 Sri Srinivasa Temple,4.0,7.0,12.9447798,77.6191001,Karnataka
 Bangalore International Exhibition Centre,3.5,11.0,13.0607572,77.47436462032766,Karnataka
 Trimurthy Temple,4.5,7.0,17.4483447,78.521754,Telangana
 Kempegowda Tower,3.5,21.0,12.9486033,77.5894041,Karnataka
 PLaY Arena,4.0,130.0,47.2363549,5.9867177,Bourgogne-Franche-Comté
 Mahua Art Gallery,4.5,4.0,13.0055691,77.581666,Karnataka
 Sri Rama Temple,4.5,4.0,12.3057017,76.64711645450585,Karnataka
 Vikasa Soudha,4.0,12.0,12.97829855,77.58931067149533,Karnataka
 Total Mall,3.5,15.0,13.042905600000001,80.23342784556613,Tamil Nadu
 Mulluru Temple,4.5,5.0,12.147184,76.7369032,Karnataka
 Active Arena,4.0,4.0,12.9433162,77.70004387539987,Karnataka
 Satsang Vihar,4.5,4.0,19.172794099999997,73.2472113814238,Maharashtra
 Allalasandra Lake,4.5,3.0,13.09101315,77.5863932785943,Karnataka
 Vaibhav Theatre,4.0,7.0,13.03565265,77.57479784652307,Karnataka
 Urvashi Cinema,4.0,528.0,12.9561526,77.58547347953893,Karnataka
 ak The Seasons,5.0,4.0,50.7354012,-3.488288,England
 St,4.0,6.0,50.0601579,13.83074794209991,Střední Čechy
 Galerie De'Arts,4.5,6.0,48.853212,2.3398417,Île-de-France
 Mystery Rooms,4.5,218.0,12.9696673,77.6416775,Karnataka
 Shirdi Sai Baba Temple,4.5,4.0,13.03269805,80.26473410980003,Tamil Nadu
 Prestige Golfshire Club,4.5,64.0,13.3111867,77.69165181596705,Karnataka
 Sri Chandrala Parameshwari Temple,4.5,3.0,16.83073675,76.9201350762518,Karnataka
 Sir,4.0,5.0,37.4693631,45.034502,استان آذربایجان غربی
 Sri Mahaganapathi Temple,4.5,4.0,12.97475465,77.57779709332772,Karnataka
 Museum of Communication,5.0,2.0,46.94182655,7.450246475410873,Bern/Berne
 Escape Room,4.5,47.0,41.7314082,12.3046285,Lazio
 Shankaraa,4.0,5.0,12.8844523,77.55473647482995,Karnataka
 Lazer Castle,4.5,103.0,52.1355094,-0.4659044,England
 Ganesha Temple,4.5,3.0,13.0198131,77.666082,Karnataka
 Amoeba,3.5,128.0,45.479254,9.1862436,Lombardia
 Blossom Book House,5.0,31.0,12.9741515,77.6069681,Karnataka
 Snow City,3.5,289.0,1.3350731,103.73511914957177,
 Dhaatu,5.0,2.0,12.3249513,76.6271025,Karnataka
 Bamboopecker,5.0,11.0,12.973234,77.6021849,Karnataka
 Spa Ritual,5.0,49.0,29.8192277,-95.428724,Texas
 Shell Spa,5.0,25.0,50.4905284,5.8485026,Liège
 Gandhi Bazaar,4.0,28.0,12.9457868,77.5706743,Karnataka
 Jiva Spa,4.5,15.0,28.2112232,83.9563069,गण्डकी प्रदेश
 Bangalore Golf Club,4.5,43.0,12.9432577,77.5162965,Karnataka
 Riddle Room,5.0,38.0,59.3426312,18.0353695,
 The Escape Hunt Experience,4.5,44.0,48.6808211,6.2052625,Grand Est
 Red Riders Sports,4.5,29.0,12.8777742,77.72680308393987,Karnataka
 Karnataka Golf Association,4.5,28.0,12.9517799,77.64746548755977,Karnataka
 Angsana Oasis Spa & Resort Bangalore,3.5,85.0,13.1825229,77.559276,Karnataka
 Kaya Kalp,5.0,13.0,29.981446,76.589244,Haryana
 Salt World,5.0,21.0,40.600157749999994,-111.7934084426939,Utah
 The Amazing Escape Bangalore,4.5,24.0,12.9725224,77.6398506,Karnataka
 Body Raaga Wellness Spa,4.5,18.0,12.970168,77.6382269,Karnataka
 Badsha Stores,5.0,22.0,12.9750422,77.5760425,Karnataka
 Dare 2 Escape,5.0,18.0,28.3336405,-81.4865071,Florida
 Decathlon OMR,4.5,14.0,13.04643815,77.74925905074574,Karnataka
" CHI, The Spa",5.0,8.0,22.5530177,88.3533405,West Bengal
 The Palms Spa,5.0,16.0,11.3996782,76.6982753,Tamil Nadu
 PVR IMAX,4.0,37.0,12.9966807,77.6954878,Karnataka
 Cinepolis Multiplex,4.0,39.0,28.6368492,77.28596728544858,Delhi
 Yours Truly India,5.0,162.0,22.5606361,88.4936616,West Bengal
 Equilibrium Climbing Station,4.0,13.0,12.9781282,77.6379023,Karnataka
 Russell Market,4.0,19.0,52.5960961,0.3778186,England
 VR Room,4.5,12.0,55.3828103,37.5382809,Московская область
 i-Bar,4.0,25.0,30.3105139,-81.70810019986364,Florida
 Golden Ace Shooting Academy,5.0,6.0,12.9123323,77.5855405,Karnataka
 Meco Kartopia,5.0,5.0,13.1156607,77.67127584149739,Karnataka
 Cocopelee,5.0,9.0,12.9916897,77.5711243,Karnataka
 The Entertainment Store,4.5,8.0,12.9755648,77.6030218,Karnataka
 Safina Plaza,4.0,15.0,12.979696650000001,77.60679366166659,Karnataka
 Shea The Spa,5.0,5.0,51.4990056,-0.0740078,England
 The Thai Spa,5.0,5.0,63.4349181,10.4039677,
 Taman Buddha,5.0,12.0,2.6473522,103.6394808,Johor
 O2 Spa,4.0,13.0,12.9706238,77.5990824,Karnataka
 O2 Spa,4.5,12.0,12.9706238,77.5990824,Karnataka
 Monkey Bar,4.5,12.0,28.537211,77.1471275,Delhi
 Maya Spa,4.5,9.0,52.3761384,16.9413605,województwo wielkopolskie
 Raja Yoga & Meditation Centre,4.5,6.0,0.3400029,32.5862856,Central Region
 Barton Centre,4.0,9.0,52.88805345,-1.2233520357268333,England
 Kavade,4.0,10.0,13.1696095,77.7376035,Karnataka
 Leather Collections,5.0,5.0,42.3586922,-71.0575878,Massachusetts
 O2 Spa,4.0,12.0,12.9706238,77.5990824,Karnataka
 Sanctum,4.0,21.0,-27.3877604,152.9686915,Queensland
 Rockline Cinemas,3.5,15.0,13.0408775,77.5183749,Karnataka
 Breakout,5.0,6.0,-35.3139633,149.0206011,
 Flaunt Salon & Spa,4.0,8.0,45.5039251,-91.7330333,Wisconsin
 Punarjani Ayurveda,4.0,6.0,9.18122665,76.49696445244027,Kerala
 Higginbothams,5.0,2.0,12.99130465,80.23421801237959,Tamil Nadu
 Sukho Thai Spa,4.5,3.0,13.7425194,100.554563,กรุงเทพมหานคร
 The Shop,5.0,3.0,50.891807650000004,3.33349894690609,West-Vlaanderen
 Walk In Beauty,4.0,5.0,54.1126329,-3.2267609,England
 Flyover Drinkery,4.5,2.0,13.0491451,77.593229,Karnataka
 Bangalore & Beyond,5.0,17.0,12.9793207,77.6400999,Karnataka
 Rd's Nature Retreat,3.5,73.0,12.7139079,77.5712632,Karnataka
 Area 83,4.0,27.0,-11.8793113,-77.0156726,Lima
 Go City Adventures,4.5,11.0,37.790247,-122.469799,California
 F5 Escapes,4.5,19.0,37.1951165,-113.6207868,Utah
 Yo Tours,4.5,17.0,-7.8207027,110.366005,Daerah Istimewa Yogyakarta
 Bangalore Magic,5.0,6.0,12.9508248,77.6236033,Karnataka
 Nature Walkers,4.5,16.0,35.220141749999996,-80.99015837035766,North Carolina
 Wayfarer,5.0,3.0,-35.240718799999996,149.0738459019562,
 Wanna,4.0,21.0,53.7434372,8.7964802,Niedersachsen
 Adventure Buddha,4.0,5.0,27.6983635,85.328734,
 Bengaluru Lights,5.0,5.0,12.9652544,77.5956151,Karnataka
 Greenwood Brothers,5.0,2.0,47.6856506,-122.3442802,Washington
 Paryatak,5.0,4.0,27.711263,85.3184026,
 PVR IMAX,4.0,37.0,12.9966807,77.6954878,Karnataka
 Wanna,4.0,21.0,53.7434372,8.7964802,Niedersachsen
 Shea The Spa,5.0,5.0,51.4990056,-0.0740078,England
 VR Room,4.5,12.0,55.3828103,37.5382809,Московская область
 Monkey Bar,4.5,12.0,28.537211,77.1471275,Delhi
 O2 Spa,4.5,12.0,12.9706238,77.5990824,Karnataka
 Taman Buddha,5.0,12.0,2.6473522,103.6394808,Johor
 Bengaluru Lights,5.0,5.0,12.9652544,77.5956151,Karnataka
 i-Bar,4.0,25.0,30.3105139,-81.70810019986364,Florida
 Leather Collections,5.0,5.0,42.3586922,-71.0575878,Massachusetts
 Russell Market,4.0,19.0,52.5960961,0.3778186,England
 Rangoli Garden,4.5,4.0,26.909468750000002,75.71313385070016,Rajasthan
 Sanctum,4.0,21.0,-27.3877604,152.9686915,Queensland
 Cocopelee,5.0,9.0,12.9916897,77.5711243,Karnataka
 Breakout,5.0,6.0,-35.3139633,149.0206011,
 Golden Ace Shooting Academy,5.0,6.0,12.9123323,77.5855405,Karnataka
 Safina Plaza,4.0,15.0,12.979696650000001,77.60679366166659,Karnataka
 Meco Kartopia,5.0,5.0,13.1156607,77.67127584149739,Karnataka
 Paryatak,5.0,4.0,27.711263,85.3184026,
 Equilibrium Climbing Station,4.0,13.0,12.9781282,77.6379023,Karnataka
 Bangalore Magic,5.0,6.0,12.9508248,77.6236033,Karnataka
 The Entertainment Store,4.5,8.0,12.9755648,77.6030218,Karnataka
 Wayfarer,5.0,3.0,-35.240718799999996,149.0738459019562,
 Maya Spa,4.5,9.0,52.3761384,16.9413605,województwo wielkopolskie
 The Thai Spa,5.0,5.0,63.4349181,10.4039677,
 O2 Spa,4.0,12.0,12.9706238,77.5990824,Karnataka
 The Shop,5.0,3.0,50.891807650000004,3.33349894690609,West-Vlaanderen
 Flaunt Salon & Spa,4.0,8.0,45.5039251,-91.7330333,Wisconsin
 Sukho Thai Spa,4.5,3.0,13.7425194,100.554563,กรุงเทพมหานคร
 Barton Centre,4.0,9.0,52.88805345,-1.2233520357268333,England
 Kavade,4.0,10.0,13.1696095,77.7376035,Karnataka
 Rockline Cinemas,3.5,15.0,13.0408775,77.5183749,Karnataka
 Flyover Drinkery,4.5,2.0,13.0491451,77.593229,Karnataka
 Greenwood Brothers,5.0,2.0,47.6856506,-122.3442802,Washington
